model	policy	ranking	group	n	R@1	R@3	R@5	MRR	heading@3	irrelevant_heading@3
nomic_prefixes	experiment	dense	numeric	4	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	experiment	dense	identifier	2	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	experiment	dense	paraphrase	9	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	experiment	dense	unanswerable	4	NA	NA	NA	NA	0.0000	0.0000
nomic_prefixes	experiment	hybrid	all_answerable	36	0.8056	0.8889	0.8889	0.8426	0.0000	0.0000
nomic_prefixes	experiment	hybrid	body_only	32	0.9063	1.0000	1.0000	0.9479	0.0000	0.0000
nomic_prefixes	experiment	hybrid	heading_fact	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
nomic_prefixes	experiment	hybrid	short_fact	4	0.5000	1.0000	1.0000	0.7083	0.0000	0.0000
nomic_prefixes	experiment	hybrid	numeric	4	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	experiment	hybrid	identifier	2	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	experiment	hybrid	paraphrase	9	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	experiment	hybrid	unanswerable	4	NA	NA	NA	NA	0.0000	0.0000
